week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id,manager,team_name,Fantasy_Position,actual_position
8.0,4361370.0,Chris Olave,4.0,7.7,3.0,18.0,11.9,9.0,Reid,I Hate Joe Burrow,WR,WR
9.0,3121422.0,Terry McLaurin,4.0,8.1,3.0,28.0,11.7,9.0,Reid,I Hate Joe Burrow,WR,WR
9.0,4361370.0,Chris Olave,4.0,10.1,3.0,18.0,11.2,9.0,Reid,I Hate Joe Burrow,WR,WR
4.0,4372414.0,Elijah Moore,4.0,7.0,3.0,20.0,9.2,10.0,DAD,A Cursed Entity,WR,WR
4.0,4569618.0,Garrett Wilson,4.0,5.1,3.0,20.0,10.9,10.0,DAD,A Cursed Entity,WR,WR
5.0,4374302.0,Amon-Ra St. Brown,4.0,3.8,3.0,8.0,14.6,10.0,DAD,A Cursed Entity,WR,WR
5.0,4569618.0,Garrett Wilson,4.0,4.2,3.0,20.0,10.9,10.0,DAD,A Cursed Entity,WR,WR
7.0,4374302.0,Amon-Ra St. Brown,4.0,0.9,3.0,8.0,13.7,10.0,DAD,A Cursed Entity,WR,WR
7.0,15795.0,DeAndre Hopkins,4.0,15.3,3.0,22.0,11.3,10.0,DAD,A Cursed Entity,WR,WR
6.0,4569618.0,Garrett Wilson,4.0,1.3,3.0,20.0,9.5,10.0,DAD,A Cursed Entity,WR,WR
6.0,3916433.0,Jakobi Meyers,4.0,8.0,3.0,17.0,9.4,10.0,DAD,A Cursed Entity,WR,WR
2.0,4374302.0,Amon-Ra St. Brown,4.0,34.9,3.0,8.0,10.9,10.0,DAD,A Cursed Entity,WR,WR
2.0,4372414.0,Elijah Moore,4.0,5.0,3.0,20.0,9.3,10.0,DAD,A Cursed Entity,WR,WR
3.0,4374302.0,Amon-Ra St. Brown,4.0,10.3,3.0,8.0,14.3,10.0,DAD,A Cursed Entity,WR,WR
3.0,4569618.0,Garrett Wilson,4.0,9.0,3.0,20.0,10.4,10.0,DAD,A Cursed Entity,WR,WR
1.0,4374302.0,Amon-Ra St. Brown,4.0,16.4,3.0,8.0,10.6,10.0,DAD,A Cursed Entity,WR,WR
1.0,4372414.0,Elijah Moore,4.0,7.4,3.0,20.0,10.6,10.0,DAD,A Cursed Entity,WR,WR
10.0,4374302.0,Amon-Ra St. Brown,4.0,17.1,3.0,8.0,13.0,10.0,DAD,A Cursed Entity,WR,WR
10.0,15795.0,DeAndre Hopkins,4.0,14.8,3.0,22.0,12.0,10.0,DAD,A Cursed Entity,WR,WR
8.0,4374302.0,Amon-Ra St. Brown,4.0,10.4,3.0,8.0,13.6,10.0,DAD,A Cursed Entity,WR,WR
8.0,15795.0,DeAndre Hopkins,4.0,27.9,3.0,22.0,11.3,10.0,DAD,A Cursed Entity,WR,WR
9.0,4374302.0,Amon-Ra St. Brown,4.0,7.5,3.0,8.0,12.6,10.0,DAD,A Cursed Entity,WR,WR
9.0,15795.0,DeAndre Hopkins,4.0,11.6,3.0,22.0,13.2,10.0,DAD,A Cursed Entity,WR,WR
4.0,16737.0,Mike Evans,23.0,26.3,3.0,27.0,12.6,1.0,QUON,Quon's  League ,FLEX,WR
5.0,16737.0,Mike Evans,23.0,10.1,3.0,27.0,12.8,1.0,QUON,Quon's  League ,FLEX,WR
7.0,4039050.0,Devin Duvernay,23.0,6.2,3.0,33.0,9.1,1.0,QUON,Quon's  League ,FLEX,WR
6.0,3128429.0,Courtland Sutton,23.0,2.4,3.0,7.0,13.9,1.0,QUON,Quon's  League ,FLEX,WR
2.0,16737.0,Mike Evans,23.0,7.6,3.0,27.0,11.4,1.0,QUON,Quon's  League ,FLEX,WR
3.0,4242433.0,Joshua Palmer,23.0,12.9,3.0,24.0,8.8,1.0,QUON,Quon's  League ,FLEX,WR
1.0,3128429.0,Courtland Sutton,23.0,9.2,3.0,7.0,10.9,1.0,QUON,Quon's  League ,FLEX,WR
10.0,4360438.0,Brandon Aiyuk,23.0,9.4,3.0,25.0,9.8,1.0,QUON,Quon's  League ,FLEX,WR
9.0,2580216.0,DeAndre Carter,23.0,8.8,3.0,24.0,8.3,1.0,QUON,Quon's  League ,FLEX,WR
4.0,3045138.0,Mike Williams,23.0,15.5,3.0,24.0,11.9,2.0,RIP,Matthew Berry Dead,FLEX,WR
5.0,4241372.0,Marquise Brown,23.0,17.8,3.0,22.0,12.8,2.0,RIP,Matthew Berry Dead,FLEX,WR
7.0,3045138.0,Mike Williams,23.0,18.1,3.0,24.0,12.8,2.0,RIP,Matthew Berry Dead,FLEX,WR
6.0,3045138.0,Mike Williams,23.0,2.7,3.0,24.0,11.2,2.0,RIP,Matthew Berry Dead,FLEX,WR
